factor,label,avg_odds,bets,hit_rate,hits,max_losing_streak,pnl,roi,sample_note
league,世预赛,3.7100000000000004,3,0.0,0,3,-300.0,-1.0,观察样本
league,东亚锦,3.25,1,0.0,0,1,-100.0,-1.0,观察样本
league,亚冠乙,3.92,1,0.0,0,1,-100.0,-1.0,观察样本
league,亚冠精英,3.7216666666666662,6,0.5,3,2,453.0,0.755,观察样本
league,亚洲杯23,3.4825000000000004,4,0.5,2,1,275.0,0.6875,观察样本
league,国际赛,3.4749999999999996,2,0.0,0,2,-200.0,-1.0,观察样本
league,女东亚锦,3.25,1,1.0,1,0,225.0,2.25,观察样本
league,德乙,3.4691999999999994,25,0.4,10,5,938.0,0.3752,观察样本
league,德甲,3.5230434782608704,46,0.1956521739130435,9,12,-1329.0,-0.28891304347826086,可参考
league,意甲,3.3807692307692307,39,0.358974358974359,14,8,828.0,0.2123076923076923,可参考
league,挪超,3.397777777777778,18,0.2777777777777778,5,8,-129.0,-0.07166666666666667,观察样本
league,日乙,3.3829729729729734,37,0.32432432432432434,12,7,481.0,0.13,可参考
league,日天皇杯,3.65,2,1.0,2,0,530.0,2.65,观察样本
league,日职,3.4109615384615393,52,0.28846153846153844,15,6,-105.0,-0.020192307692307693,可参考
league,日联赛杯,3.3899999999999997,7,0.42857142857142855,3,3,373.0,0.5328571428571428,观察样本
league,沙职,3.3642857142857143,7,0.42857142857142855,3,2,285.0,0.40714285714285714,观察样本
league,法乙,3.4200000000000004,7,0.5714285714285714,4,3,641.0,0.9157142857142857,观察样本
league,法甲,3.3653846153846154,13,0.3076923076923077,4,4,98.0,0.07538461538461538,观察样本
league,澳超,3.5716216216216212,37,0.2702702702702703,10,10,-185.0,-0.05,可参考
league,瑞超,3.5460000000000003,25,0.48,12,4,1765.0,0.706,观察样本
league,芬超,3.733333333333333,3,0.3333333333333333,1,2,65.0,0.21666666666666667,观察样本
league,英冠,3.369019607843137,51,0.27450980392156865,14,11,-320.0,-0.06274509803921569,可参考
league,英甲,3.414,10,0.2,2,4,-348.0,-0.348,观察样本
league,英超,3.4715254237288136,59,0.3389830508474576,20,7,862.0,0.14610169491525424,可参考
league,英足总杯,3.4400000000000004,5,0.4,2,1,240.0,0.48,观察样本
league,荷乙,3.56,3,0.6666666666666666,2,1,398.0,1.3266666666666667,观察样本
league,荷甲,3.6350000000000002,18,0.2777777777777778,5,4,-115.0,-0.06388888888888888,观察样本
league,葡超,3.2566666666666664,6,0.16666666666666666,1,5,-265.0,-0.44166666666666665,观察样本
league,西国王杯,3.3,2,0.0,0,2,-200.0,-1.0,观察样本
league,西甲,3.3875000000000006,20,0.55,11,4,1672.0,0.836,观察样本
league,非洲杯,3.15,1,0.0,0,1,-100.0,-1.0,观察样本
league,韩职,3.3363999999999994,50,0.3,15,9,-12.0,-0.0024,可参考
draw_odds_range,3.10-3.29,3.2575000000000016,116,0.35344827586206895,41,8,1658.0,0.14293103448275862,可参考
draw_odds_range,3.30-3.49,3.352914572864321,199,0.2864321608040201,57,17,-834.0,-0.041909547738693466,可参考
draw_odds_range,3.50+,3.6452914798206293,223,0.34977578475336324,78,10,5849.0,0.26228699551569506,可参考
draw_odds_range,其他,3.1878260869565214,23,0.2608695652173913,6,8,-352.0,-0.15304347826086956,观察样本
handicap_draw_odds_range,未知,3.4426381461675564,561,0.3244206773618538,182,10,6321.0,0.11267379679144385,可参考
abs_hcap_range,0,3.3025925925925925,54,0.3333333333333333,18,7,479.0,0.0887037037037037,可参考
abs_hcap_range,0.25,3.3129411764705883,153,0.3137254901960784,48,15,634.0,0.041437908496732026,可参考
abs_hcap_range,0.50,3.3775977653631295,179,0.3240223463687151,58,12,1547.0,0.08642458100558659,可参考
abs_hcap_range,0.75+,3.66577142857143,175,0.3314285714285714,58,8,3661.0,0.2092,可参考
rank_gap_range,0-4,3.3708988764044947,89,0.25842696629213485,23,12,-1249.0,-0.1403370786516854,可参考
rank_gap_range,10+,3.4991358024691372,81,0.35802469135802467,29,5,2115.0,0.2611111111111111,可参考
rank_gap_range,5-9,3.4524444444444455,90,0.2222222222222222,20,10,-2178.0,-0.242,可参考
rank_gap_range,未知,3.445714285714289,301,0.3654485049833887,110,10,7633.0,0.25358803986710965,可参考
recent_draw_sum,中,3.4248122866894195,293,0.3412969283276451,100,17,4880.0,0.16655290102389078,可参考
recent_draw_sum,低,3.485732484076433,157,0.2802547770700637,44,11,-439.0,-0.027961783439490445,可参考
recent_draw_sum,高,3.42873873873874,111,0.34234234234234234,38,6,1880.0,0.16936936936936936,可参考
recent_low_scoring_sum,中,3.441585623678647,473,0.33192389006342493,157,10,6538.0,0.13822410147991543,可参考
recent_low_scoring_sum,低,3.6475,32,0.25,8,6,-324.0,-0.10125,可参考
recent_low_scoring_sum,高,3.334464285714286,56,0.30357142857142855,17,6,107.0,0.019107142857142857,可参考
h2h_draw_rate,中,3.4276190476190487,168,0.2916666666666667,49,10,50.0,0.002976190476190476,可参考
h2h_draw_rate,低,3.486745098039214,255,0.3137254901960784,80,12,2273.0,0.08913725490196078,可参考
h2h_draw_rate,其他,3.430555555555556,18,0.3888888888888889,7,4,570.0,0.31666666666666665,观察样本
h2h_draw_rate,未知,3.55,1,1.0,1,0,255.0,2.55,观察样本
h2h_draw_rate,高,3.3702521008403363,119,0.37815126050420167,45,9,3173.0,0.26663865546218485,可参考
h2h_one_goal_margin_rate,中,3.459444444444445,36,0.3333333333333333,12,10,577.0,0.16027777777777777,可参考
h2h_one_goal_margin_rate,低,3.411399999999999,50,0.38,19,4,1355.0,0.271,可参考
h2h_one_goal_margin_rate,未知,3.55,1,1.0,1,0,255.0,2.55,观察样本
h2h_one_goal_margin_rate,高,3.4444303797468336,474,0.31645569620253167,150,9,4134.0,0.08721518987341773,可参考
home_recent_goal_diff,主队弱,3.4441732283464592,254,0.3031496062992126,77,9,837.0,0.03295275590551181,可参考
home_recent_goal_diff,主队强,3.4554372623574134,263,0.35361216730038025,93,9,5781.0,0.21980988593155892,可参考
home_recent_goal_diff,均势,3.3572727272727265,44,0.2727272727272727,12,9,-297.0,-0.0675,可参考
away_recent_goal_diff,均势,3.3958974358974356,39,0.358974358974359,14,7,885.0,0.22692307692307692,可参考
away_recent_goal_diff,客队弱,3.4454185022026436,227,0.3436123348017621,78,8,4062.0,0.17894273127753305,可参考
away_recent_goal_diff,客队强,3.4466779661016953,295,0.3050847457627119,90,11,1374.0,0.04657627118644068,可参考
